template;cluster;task
Action: turn around Direction: around Preposition: to Landmark: black table ;19;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: put Object: apple slice Location: on pan, to the left of knife ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn Direction: around Preposition: to Landmark: black table ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: pick up Object: knife From: next to lettuce ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn Direction: around Preposition: to Landmark: refrigerator ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: cut Object: yellow apple Into: three pieces ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn Direction: around ;15;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: put Object: knife On: pan on stove's top left burner ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: pick up Object: pan with knife in it From: stove ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn Direction: left ;21;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: put Object: pan with knife On: table below potato ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn Direction: around ;15;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: pick up Object: yellow apple piece to the left From: refrigerator ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: turn Direction: around ;15;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: put Object: apple slice On: pan to the left of knife on it ;-1;pick_and_place_with_movable_recep-AppleSliced-Pan-DiningTable-18
Action: walk Distance: two steps Direction: left Location: table ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: grab Object: knife Preposition: between Location: very back ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: walk Distance: three steps Direction: right Location: fridge ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: open Object: fridge Preposition: on Location: wine glass in the back ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: close Location: fridge ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: turn Direction: right Distance: four steps Location: table ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: place Object: wine glass Preposition: on Location: table on the left side of the apple ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: walk Distance: two steps Direction: left Landmark: table ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: grab Object: knife in the very back Preposition: between the lettuce and egg ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: walk Distance: three steps Direction: right Landmark: fridge ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: open Object: fridge Preposition: on the wine glass in the back ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: close Object: fridge ;22;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: turn Direction: right Distance: four steps Landmark: table ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: place Object: wine glass on the table on the left side of the apple Preposition: on the left side of the apple ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: walk Distance: two steps Direction: forward Location: None Next Action: turn Next Direction: left Next Location: table ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: grab Object: knife Location: very back Prepositions: ['between'] ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: walk Distance: three steps Direction: forward Next Action: turn Next Direction: right Next Location: fridge ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: open Object: fridge ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: close Object: fridge ;22;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: turn Direction: right ;13;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: place Object: wine glass Location: table, left side of apple ;-1;pick_and_place_with_movable_recep-ButterKnife-Cup-DiningTable-23
Action: walk Direction: right Preposition: turn Landmark: table ;23;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: pick up Object: fork Location: table ;24;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: turn Direction: right Preposition: walk Landmark: coffee maker ;25;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: place Object: fork Location: mug on the coffee maker ;26;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: pick up Object: mug Location: coffee maker ;27;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: step Direction: left Preposition: face Landmark: sink ;28;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: place Object: mug and fork Location: sink ;-1;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: walk Direction: right Preposition: turn Landmark: table ;23;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: pick up Object: fork From: the table ;-1;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: turn Direction: right Preposition: walk Landmark: coffee maker ;25;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: place Object: fork Into: mug on the coffee maker ;-1;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: pick up Object: mug From: the coffee maker ;-1;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: step Direction: left Preposition: face Landmark: sink ;28;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: place Object: mug, fork Into: the sink ;-1;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: walk Direction: right Preposition: then turn Landmark: table ;-1;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: pick up Object: fork Location: table ;24;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: turn Direction: right Preposition: walk forward Landmark: coffee maker ;-1;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: place Object: fork Location: mug on the coffee maker ;26;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: pick up Object: mug Location: coffee maker ;27;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: step Direction: left Preposition: face Landmark: sink ;28;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: place Object: ['mug', 'fork'] Location: sink ;-1;pick_and_place_with_movable_recep-Fork-Mug-SinkBasin-18
Action: turn Direction: right Preposition: passed Landmark: refrigerator Location: counter ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: pick up Object: yellow-handled knife Location: counter ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: walk Direction: back Preposition: in front of Landmark: stove Location: kitchen ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: place Object: knife Location: bowl on stove ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: pick up Object: bowl with knife in it ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: walk Direction: over Preposition: with Landmark: tomato on white table Location: white table ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: set Object: bowl and knife Location: table next to tomato ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: turn Direction: right Preposition: passed Landmark: refrigerator ;29;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: pick up Object: yellow-handled knife From: the counter ;30;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: walk To: the kitchen ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: place Object: knife Into: the bowl on the stove ;31;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: pick up Object: bowl with the knife in it ;32;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: walk To: the white table with the tomato on it ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: set Object: bowl and knife Next to: the tomato ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: turn Direction: right Preposition: passed Landmark: refrigerator ;29;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: pick up Object: yellow-handled knife From: the counter ;30;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: walk To: the kitchen With: knife Preposition: in front of ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: place Object: knife Into: the bowl on the stove ;31;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: pick up Object: bowl with the knife in it ;32;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: walk With: the bowl and knife To: the white table with the tomato on it ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: set Object: bowl and knife On: the table next to the tomato ;-1;pick_and_place_with_movable_recep-Knife-Pot-DiningTable-24
Action: turn Direction: left Preposition: to Landmark: pot on the counter to the right of the stove top ;-1;pick_and_place_with_movable_recep-Knife-Pot-SinkBasin-1
Action: pick up Object: pot Location: counter ;-1;pick_and_place_with_movable_recep-Knife-Pot-SinkBasin-1
Action: turn Direction: right Preposition: to Landmark: sink ;33;pick_and_place_with_movable_recep-Knife-Pot-SinkBasin-1
Action: put Object: pot Location: sink basin ;-1;pick_and_place_with_movable_recep-Knife-Pot-SinkBasin-1
Action: turn Direction: left Preposition: to Landmark: pot on the counter ;-1;pick_and_place_with_movable_recep-Knife-Pot-SinkBasin-1
Action: pick up Object: pot From: the counter ;-1;pick_and_place_with_movable_recep-Knife-Pot-SinkBasin-1
Action: turn Direction: right Preposition: to Landmark: sink ;33;pick_and_place_with_movable_recep-Knife-Pot-SinkBasin-1
Action: put Object: pot Into: the sink basin ;-1;pick_and_place_with_movable_recep-Knife-Pot-SinkBasin-1
Action: take Direction: right Location: None ;-1;pick_and_place_with_movable_recep-Pen-Mug-Dresser-301
Action: pick up Object: pen Location: in front of you, under the mug ;-1;pick_and_place_with_movable_recep-Pen-Mug-Dresser-301
Action: put Object: pencil Location: in the mug that was above it ;-1;pick_and_place_with_movable_recep-Pen-Mug-Dresser-301
Action: pick up Object: mug with the pencil in it Location: None ;-1;pick_and_place_with_movable_recep-Pen-Mug-Dresser-301
Action: turn Direction: right Location: None ;-1;pick_and_place_with_movable_recep-Pen-Mug-Dresser-301
Action: put Object: mug Preposition: to the right of Location: phone ;-1;pick_and_place_with_movable_recep-Pen-Mug-Dresser-301
Action: move Direction: right Preposition: to the left of Location: the sink ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: pick up Object: spatula Location: the table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: move Direction: left Preposition: to the left of Location: the table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: place Object: spatula Preposition: in Location: the pan on the table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: pick up Object: pan Location: the table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: move Direction: right Preposition: to the sink Location: None ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: place Object: pan Preposition: in Location: the sink ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: move Direction: right Preposition: to the left of Landmark: the sink ;34;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: pick up Object: spatula From: the table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: move Direction: left Preposition: to the left of Landmark: the table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: place Object: spatula Into: pan on the table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: pick up Object: pan From: the table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: move Direction: right Preposition: to the sink Landmark: the sink ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: place Object: pan Into: the sink ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: move Direction: right Preposition: to the left of Landmark: sink ;34;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: pick up Object: spatula Location: table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: move Direction: left Preposition: None Landmark: None ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: place Object: spatula Location: pan on the table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: pick up Object: pan Location: table ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: move Direction: right Preposition: to the sink Landmark: sink ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: place Object: pan Location: sink ;-1;pick_and_place_with_movable_recep-Spatula-Pan-SinkBasin-4
Action: go forward Direction: to the large white table Preposition: on the other side of the room ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: pick up Object: knife that is on the table ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: right Preposition: face the small black table ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: use Object: knife to slice the pear From: the table ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: right Preposition: go to the section of counter that is on the left of the sink ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: stick Object: knife directly in front of the salt shaker ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: left Preposition: return to the small black table ;35;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: pick up Object: slice of the pear ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: right Preposition: go to the sink ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: place Object: pear in the sink From: the counter ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: left Preposition: return to the small black table ;35;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: place Object: pear slice back on the small table From: the sink ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: go forward Direction: left Preposition: to Landmark: large white table ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: pick up Object: knife From: table ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: right Preposition: to Landmark: small black table ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: use Object: knife From: table Preposition: to ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: right Preposition: to Landmark: section of counter ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: directly in front of Object: salt shaker ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: left Preposition: to Landmark: small black table ;36;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: pick up Object: slice of pear ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: right Preposition: to Landmark: sink ;33;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: place Object: pear In: sink ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: turn Direction: left Preposition: to Landmark: small black table ;36;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: place Object: pear slice On: small black table ;-1;pick_clean_then_place_in_recep-AppleSliced-None-SideTable-21
Action: walk Direction: behind you Preposition: to Landmark: kitchen counter ;-1;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: grab Object: middle sponge From: counter ;37;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: walk Direction: left Preposition: to Landmark: kitchen sink ;38;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: take Object: sponge From: sink ;39;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: walk Direction: left Preposition: to Landmark: kitchen counter ;40;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: put Object: sponge Into: bottom drawer ;41;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: walk Direction: behind Preposition: to Landmark: kitchen counter ;-1;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: grab Object: middle sponge From: counter ;37;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: walk Direction: left Preposition: to Landmark: kitchen sink ;38;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: take Object: sponge From: sink ;39;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: walk Direction: left Preposition: to Landmark: kitchen counter ;40;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: put Object: sponge Into: bottom drawer ;41;pick_clean_then_place_in_recep-DishSponge-None-Drawer-430
Action: veer Direction: left Preposition: to Landmark: stove ;42;pick_clean_then_place_in_recep-Kettle-None-Cabinet-2
Action: pick up Object: leftmost kettle From: stove ;43;pick_clean_then_place_in_recep-Kettle-None-Cabinet-2
